individual,litter_id,sex,year,field_bdate,grid,growth,survived_200d,owner,Std.BD,Std.growth,Std.lynx,Std.hare.fall,Std.mustelid,Std.Cleth,z.density,z.cones,z.temp
4092,1035,M,1992,1992-06-19,SU,1.35483871,0,not yet acquired territory,0.701731814,0.294719803,-0.548024159,-1.027672363,-0.69117009,1.156519109,0.130378678,0.241050095,-0.179293566
4100,773,F,1991,1991-05-24,KL,2.227272727,1,not yet acquired territory,2.527191546,1.998073203,0.524112344,-0.307409141,-0.827311683,0.063949979,-1.364989257,-1.128059605,0.783018482
4108,1002,F,1992,1992-05-07,SU,1.875,0,acquired territory,-1.045479563,0.865306099,-0.548024159,-1.027672363,-0.69117009,1.156519109,0.130378678,0.241050095,-0.179293566
4110,864,F,1991,1991-04-26,SU,2,1,acquired territory,-0.503710313,0.048704742,0.524112344,-0.307409141,-0.827311683,0.063949979,-0.346866408,-1.324467666,0.783018482
4114,1032,M,1992,1992-05-02,SU,1.6,0,acquired territory,-1.248643676,0.563647298,-0.548024159,-1.027672363,-0.69117009,1.156519109,0.130378678,0.241050095,-0.179293566
4116,602,F,1989,1989-04-22,SU,2.333333333,1,acquired territory,0.719659647,0.659630662,-0.12832313,1.235568536,-1.018041451,0.610234544,-0.505948103,-1.36419297,-0.376888306
4118,840,M,1991,1991-05-06,SU,1.833333333,1,acquired territory,0.587358957,-0.511781637,0.524112344,-0.307409141,-0.827311683,0.063949979,-0.346866408,-1.324467666,0.783018482
4124,1025,F,1992,1992-06-15,SU,1.380952381,0,acquired territory,0.539200523,0.323364962,-0.548024159,-1.027672363,-0.69117009,1.156519109,0.130378678,0.241050095,-0.179293566
4126,1023,M,1992,1992-05-15,SU,2.695652174,0,not yet acquired territory,-0.720416981,1.765513196,-0.548024159,-1.027672363,-0.69117009,1.156519109,0.130378678,0.241050095,-0.179293566
4128,1030,F,1992,1992-05-28,SU,-1.115384615,0,acquired territory,-0.192190286,-2.414969684,-0.548024159,-1.027672363,-0.69117009,1.156519109,0.130378678,0.241050095,-0.179293566
4134,1044,M,1992,1992-06-18,SU,1.689655172,0,not yet acquired territory,0.661098992,0.661993741,-0.548024159,-1.027672363,-0.69117009,1.156519109,0.130378678,0.241050095,-0.179293566
4136,1042,F,1992,1992-05-26,SU,1.233333333,0,acquired territory,-0.273455931,0.161435562,-0.548024159,-1.027672363,-0.69117009,1.156519109,0.130378678,0.241050095,-0.179293566
4138,1036,F,1992,1992-05-28,SU,1.15625,0,not yet acquired territory,-0.192190286,0.076879685,-0.548024159,-1.027672363,-0.69117009,1.156519109,0.130378678,0.241050095,-0.179293566
4140,1036,F,1992,1992-05-28,SU,1.25,0,not yet acquired territory,-0.192190286,0.179717913,-0.548024159,-1.027672363,-0.69117009,1.156519109,0.130378678,0.241050095,-0.179293566
4144,1035,F,1992,1992-06-19,SU,1.387096774,0,not yet acquired territory,0.701731814,0.330104999,-0.548024159,-1.027672363,-0.69117009,1.156519109,0.130378678,0.241050095,-0.179293566
4146,1044,F,1992,1992-06-18,SU,1.206896552,0,acquired territory,0.661098992,0.132435969,-0.548024159,-1.027672363,-0.69117009,1.156519109,0.130378678,0.241050095,-0.179293566
4150,841,F,1991,1991-04-29,SU,2.35,1,acquired territory,-0.176389532,1.225726137,0.524112344,-0.307409141,-0.827311683,0.063949979,-0.346866408,-1.324467666,0.783018482
4154,1020,F,1992,1992-06-04,SU,0.96969697,0,not yet acquired territory,0.092239473,-0.127758001,-0.548024159,-1.027672363,-0.69117009,1.156519109,0.130378678,0.241050095,-0.179293566
4160,922,M,1992,1992-05-30,KL,2.875,1,acquired territory,-0.531530283,3.619976646,-0.548024159,-1.027672363,-0.69117009,1.156519109,-1.524070952,0.744661402,-0.179293566
4194,1196,M,1993,1993-04-08,SU,1.647058824,0,acquired territory,-0.994986739,-0.569329726,-0.996451824,-0.956266957,-0.840794304,0.246044834,-0.474131764,1.013816571,0.466524742
4238,908,F,1992,1992-05-23,KL,1.95,1,not yet acquired territory,-0.870788027,1.380123768,-0.548024159,-1.027672363,-0.69117009,1.156519109,-1.524070952,0.744661402,-0.179293566
4284,1010,M,1992,1992-04-28,SU,1.514285714,1,acquired territory,-1.411174967,0.469623775,-0.548024159,-1.027672363,-0.69117009,1.156519109,0.130378678,0.241050095,-0.179293566
4314,1029,F,1992,1992-07-21,SU,1.545454545,0,not yet acquired territory,2.001982141,0.503814147,-0.548024159,-1.027672363,-0.69117009,1.156519109,0.130378678,0.241050095,-0.179293566
4364,1003,M,1992,1992-05-09,SU,1.941176471,1,not yet acquired territory,-0.964213917,0.93789779,-0.548024159,-1.027672363,-0.69117009,1.156519109,0.130378678,0.241050095,-0.179293566
4378,1212,F,1993,1993-04-06,SU,1.5,1,acquired territory,-1.041265192,-0.870148747,-0.996451824,-0.956266957,-0.840794304,0.246044834,-0.474131764,1.013816571,0.466524742
4460,1110,M,1993,1993-07-11,KL,1.611111111,0,not yet acquired territory,1.319833881,-0.230884151,-0.996451824,-0.956266957,-0.840794304,0.246044834,-1.110458545,1.670440285,0.466524742
4462,1110,M,1993,1993-07-11,KL,1.444444444,0,not yet acquired territory,1.319833881,-0.404282443,-0.996451824,-0.956266957,-0.840794304,0.246044834,-1.110458545,1.670440285,0.466524742
4464,1110,F,1993,1993-07-11,KL,1.722222222,0,not yet acquired territory,1.319833881,-0.115285289,-0.996451824,-0.956266957,-0.840794304,0.246044834,-1.110458545,1.670440285,0.466524742
4466,1103,M,1993,1993-07-07,KL,1.894736842,0,not yet acquired territory,1.210576109,0.064197154,-0.996451824,-0.956266957,-0.840794304,0.246044834,-1.110458545,1.670440285,0.466524742
4468,1103,M,1993,1993-07-07,KL,1.789473684,0,not yet acquired territory,1.210576109,-0.045317557,-0.996451824,-0.956266957,-0.840794304,0.246044834,-1.110458545,1.670440285,0.466524742
4470,1106,F,1993,1993-07-07,KL,2.315789474,0,not yet acquired territory,1.210576109,0.502255999,-0.996451824,-0.956266957,-0.840794304,0.246044834,-1.110458545,1.670440285,0.466524742
4502,1082,M,1993,1993-07-12,KL,2.578947368,0,not yet acquired territory,1.347148324,0.776042776,-0.996451824,-0.956266957,-0.840794304,0.246044834,-1.110458545,1.670440285,0.466524742
4504,1086,M,1993,1993-07-10,KL,1.947368421,0,not yet acquired territory,1.292519438,0.11895451,-0.996451824,-0.956266957,-0.840794304,0.246044834,-1.110458545,1.670440285,0.466524742
4506,1086,M,1993,1993-07-10,KL,2.052631579,0,not yet acquired territory,1.292519438,0.228469221,-0.996451824,-0.956266957,-0.840794304,0.246044834,-1.110458545,1.670440285,0.466524742
4508,1093,F,1993,1993-07-08,KL,2.1,0,not yet acquired territory,1.237890552,0.277750841,-0.996451824,-0.956266957,-0.840794304,0.246044834,-1.110458545,1.670440285,0.466524742
4510,1093,F,1993,1993-07-08,KL,1.95,0,not yet acquired territory,1.237890552,0.121692378,-0.996451824,-0.956266957,-0.840794304,0.246044834,-1.110458545,1.670440285,0.466524742
4512,1215,M,1993,1993-07-12,SU,1.9375,0,not yet acquired territory,1.203239777,0.024787841,-0.996451824,-0.956266957,-0.840794304,0.246044834,-0.474131764,1.013816571,0.466524742
4514,1201,M,1993,1993-07-11,SU,2.714285714,0,not yet acquired territory,1.180100551,1.613756886,-0.996451824,-0.956266957,-0.840794304,0.246044834,-0.474131764,1.013816571,0.466524742
4516,1201,M,1993,1993-07-11,SU,2.357142857,0,not yet acquired territory,1.180100551,0.883196406,-0.996451824,-0.956266957,-0.840794304,0.246044834,-0.474131764,1.013816571,0.466524742
4518,1201,M,1993,1993-07-11,SU,2.428571429,0,not yet acquired territory,1.180100551,1.029308502,-0.996451824,-0.956266957,-0.840794304,0.246044834,-0.474131764,1.013816571,0.466524742
4520,1201,M,1993,1993-07-11,SU,2.571428571,0,not yet acquired territory,1.180100551,1.321532694,-0.996451824,-0.956266957,-0.840794304,0.246044834,-0.474131764,1.013816571,0.466524742
4526,1211,M,1993,1993-07-10,SU,3,0,acquired territory,1.156961324,2.19820527,-0.996451824,-0.956266957,-0.840794304,0.246044834,-0.474131764,1.013816571,0.466524742
4536,1002,F,1992,1992-05-07,SU,1.916666667,1,not yet acquired territory,-1.045479563,0.911011979,-0.548024159,-1.027672363,-0.69117009,1.156519109,0.130378678,0.241050095,-0.179293566
4586,1223,F,1993,1993-07-23,SU,0.944444444,0,not yet acquired territory,1.457771268,-2.006576161,-0.996451824,-0.956266957,-0.840794304,0.246044834,-0.474131764,1.013816571,0.466524742
4588,1190,M,1993,1993-07-19,SU,2.052631579,0,not yet acquired territory,1.365214363,0.26029747,-0.996451824,-0.956266957,-0.840794304,0.246044834,-0.474131764,1.013816571,0.466524742
4590,1190,M,1993,1993-07-19,SU,1.578947368,0,not yet acquired territory,1.365214363,-0.708656431,-0.996451824,-0.956266957,-0.840794304,0.246044834,-0.474131764,1.013816571,0.466524742
4592,1190,M,1993,1993-07-19,SU,1.368421053,0,not yet acquired territory,1.365214363,-1.139302609,-0.996451824,-0.956266957,-0.840794304,0.246044834,-0.474131764,1.013816571,0.466524742
4602,1223,M,1993,1993-07-23,SU,2.055555556,0,not yet acquired territory,1.457771268,0.266278667,-0.996451824,-0.956266957,-0.840794304,0.246044834,-0.474131764,1.013816571,0.466524742
4604,1223,M,1993,1993-07-23,SU,1.944444444,0,not yet acquired territory,1.457771268,0.038993184,-0.996451824,-0.956266957,-0.840794304,0.246044834,-0.474131764,1.013816571,0.466524742
4610,1213,F,1993,1993-07-17,SU,2.115384615,0,not yet acquired territory,1.31893591,0.388663157,-0.996451824,-0.956266957,-0.840794304,0.246044834,-0.474131764,1.013816571,0.466524742
4620,1084,M,1993,1993-07-22,KL,1.894736842,0,not yet acquired territory,1.620292753,0.064197154,-0.996451824,-0.956266957,-0.840794304,0.246044834,-1.110458545,1.670440285,0.466524742
4622,1084,M,1993,1993-07-22,KL,2.315789474,0,not yet acquired territory,1.620292753,0.502255999,-0.996451824,-0.956266957,-0.840794304,0.246044834,-1.110458545,1.670440285,0.466524742
4624,531,M,1989,1989-04-18,KL,2.75,1,acquired territory,0.288396779,1.056704931,-0.12832313,1.235568536,-1.018041451,0.610234544,-1.046825867,-1.36419297,-0.376888306
